date_time,latitude,longitude,depth,magnitude,location
16 January 2018 - 04:43 AM,11.65,124.27,010,4.3,009km S 69° W of Kawayan(Biliran)
16 January 2018 - 03:31 AM,09.26,126.87,027,2.7,073km N 59° E of Cagwait (Surigao Del Sur)
16 January 2018 - 03:11 AM,09.15,126.80,002,3.6,060km N 65° E of Cagwait (Surigao Del Sur)
16 January 2018 - 02:54 AM,05.51,126.42,086,4.2,098km S 65° E of Jose Abad Santos (Davao Occidental)
16 January 2018 - 02:44 AM,10.51,126.58,009,2.8,077km N 46° E of Burgos (Surigao Del Norte)
15 January 2018 - 06:20 PM,16.68,120.85,020,2.3,020km S 76° E of Bakun (Benguet)
15 January 2018 - 04:11 PM,13.23,122.47,004,2.7,014km S 23° W of San Francisco (Aurora) (Quezon)
15 January 2018 - 04:44 AM,06.06,126.19,135,2.7,057km S 74° E of Don Marcelino (Davao Occidental)
15 January 2018 - 02:51 AM,15.35,122.75,001,3.1,081km N 30° E of Jomalig (Quezon)
15 January 2018 - 02:29 AM,13.73,120.52,104,3.4,017km S 48° W of Calatagan (Batangas)
15 January 2018 - 01:35 AM,13.31,120.27,027,3.1,024km S 61° W of Paluan (Occidental Mindoro)
15 January 2018 - 01:30 AM,13.30,120.14,016,2.8,037km S 70° W of Paluan (Occidental Mindoro)
15 January 2018 - 12:57 AM,16.73,120.94,010,3.1,006km N 47° E of Tinoc (Ifugao)
15 January 2018 - 12:36 AM,16.65,120.96,034,2.2,009km S 55° E of Tinoc (Ifugao)
14 January 2018 - 11:49 PM,13.26,120.29,021,5.2,026km S 49° W of Paluan (Occidental Mindoro)
14 January 2018 - 11:20 PM,13.28,120.22,015,5.0,030km S 61° W of Paluan (Occidental Mindoro)
14 January 2018 - 09:42 PM,10.76,125.66,035,2.4,032km S 12° W of Guiuan (Eastern Samar)
14 January 2018 - 08:21 PM,15.44,121.91,001,2.3,052km S 54° E of San Luis (Aurora)
14 January 2018 - 08:01 PM,07.88,125.68,010,3.7,020km N 55° W of Laak (San Vicente) (Compostela Valley)
14 January 2018 - 04:49 PM,16.73,121.11,003,2.2,008km S 48° E of Kiangan (Ifugao)
14 January 2018 - 03:00 PM,16.72,121.00,003,2.5,008km S 44° W of Kiangan (Ifugao)
14 January 2018 - 02:59 PM,08.38,126.91,002,2.9,067km N 56° E of Lingig (Surigao Del Sur)
14 January 2018 - 07:25 AM,17.07,120.34,020,2.4,018km S 42° W of Candon City (Ilocos Sur)
14 January 2018 - 05:40 AM,09.73,122.48,030,3.0,009km S 66° E of Sipalay (Negros Occidental)
13 January 2018 - 08:26 PM,06.58,126.60,032,3.0,054km S 17° E of Tarragona (Davao Oriental)
13 January 2018 - 06:31 PM,13.96,125.45,033,3.4,116km N 80° E of Gigmoto (Catanduanes)
13 January 2018 - 09:08 AM,07.73,126.62,064,3.7,018km N 21° E of Baganga (Davao Oriental)
13 January 2018 - 05:03 AM,05.88,126.96,021,2.9,129km S 49° E of Governor Generoso (Davao Oriental)
13 January 2018 - 02:19 AM,11.37,125.41,033,3.8,017km S 35° W of Maydolong (Eastern Samar)
13 January 2018 - 01:20 AM,13.85,120.57,123,2.5,007km N 74° W of Calatagan (Batangas)
12 January 2018 - 02:40 PM,05.82,127.16,044,3.6,152km S 52° E of Governor Generoso (Davao Oriental)
12 January 2018 - 07:58 AM,11.73,124.28,012,2.4,009km S 54° W of Maripipi (Biliran)
12 January 2018 - 04:40 AM,06.01,124.43,016,2.8,021km N 84° W of Kiamba (Sarangani)
12 January 2018 - 02:02 AM,10.95,124.58,028,2.1,006km S 25° W of Ormoc City (Leyte)
12 January 2018 - 12:33 AM,06.58,126.52,027,2.4,050km S 81° E of Governor Generoso (Davao Oriental)
11 January 2018 - 11:26 PM,13.58,120.48,062,2.0,019km N 03° E of Paluan (Occidental Mindoro)
11 January 2018 - 07:36 PM,03.76,126.05,006,3.3,196km S 19° E of Sarangani (Davao Occidental)
11 January 2018 - 07:21 PM,09.95,126.12,016,3.0,009km S 31° E of Burgos (Surigao Del Norte)
11 January 2018 - 04:05 PM,08.46,124.41,009,3.1,020km N 53° E of Lugait (Misamis Oriental)
11 January 2018 - 03:28 PM,06.59,126.43,029,2.1,039km S 80° E of Governor Generoso (Davao Oriental)
11 January 2018 - 03:20 PM,07.95,125.22,032,2.3,009km N 07° W of San Fernando (Bukidnon)
11 January 2018 - 12:57 PM,08.66,123.18,019,1.9,017km N 33° E of Manukan (Zamboanga del Norte)
11 January 2018 - 11:33 AM,10.51,122.39,001,2.2,017km S 83° W of Nueva Valencia (Guimaras)
11 January 2018 - 08:35 AM,11.66,124.33,007,2.1,003km S 43° W of Kawayan (Biliran)
11 January 2018 - 08:34 AM,08.77,126.58,018,2.5,031km S 85° E of Marihatag (Surigao del Sur)
11 January 2018 - 07:56 AM,17.89,121.03,035,2.1,017km N 39° E of Tineg (Abra)
11 January 2018 - 03:11 AM,08.40,126.42,028,2.8,010km N 66° E of Hinatuan (Surigao Del Sur)
11 January 2018 - 02:49 AM,07.71,124.83,001,3.0,009km S 64° E of Kalilangan (Bukidnon)
10 January 2018 - 10:38 PM,17.12,120.03,006,2.8,045km S 79° W of Candon City (Ilocos Sur)
10 January 2018 - 08:38 PM,05.27,124.90,033,3.3,065km S 74° W of Sarangani (Davao Occidental)
10 January 2018 - 07:09 PM,15.71,121.73,007,2.5,018km S 74° E of Baler (Aurora)
10 January 2018 - 06:51 PM,08.66,126.71,001,2.7,052km N 52° E of Hinatuan (Surigao Del Sur)
10 January 2018 - 05:17 PM,08.57,127.00,001,3.0,076km N 73° E of Hinatuan (Surigao Del Sur)
10 January 2018 - 01:01 PM,09.94,123.20,003,2.6,003km N 77° E of Tayasan (Negros Oriental)
